Station Code,Station Name,ICS Code,Postcode
"ZAR","ARC","Archway","940GZZLUACY","N195RQ"
"ZAS","ZAS","All Saints","940GZZDLALL","E146NT"
"ZAT","ACT","Acton Town","940GZZLUACT","W38HN"
"ZBA","BNK","Bank","940GZZLUBNK","EC3V3LA"
"ZBB","Barbican","910GBRBCNLT","EC1M6PX"
"ZBC","ZBC","Bow Church","940GZZDLBOW","E33EF"
"ZBD","BDS","Bond Street","940GZZLUBND","W1R1FE"
"ZBE","BER","Bermondsey","940GZZLUBMY","SE164RX"
"ZBG","BGR","Bounds Green","910GBOWESPK","N112EU"
"ZBH","ZBW","Blackwall","940GZZDLBLA","E149QE"
"ZBJ","ZBP","Beckton Park","940GZZDLBPK","E65PF"
"ZBK","Barking Underground","910GBARKING","IG118TN"
"ZBM","BOS","Boston Manor","940GZZLUBOS","TW89LQ"
"ZBN","BDE","Barkingside","940GZZLUBKE","IG61NB"
"ZBO","BUR","Burnt Oak","940GZZLUBTK","HA80LA"
"ZBP","BPK","Belsize Park","940GZZLUBZP","NW32AL"
"ZBQ","BCT","Barons Court","940GZZLUBSC","W149AX"
"ZBR","BWR","Bow Road","940GZZLUBWR","E34DH"
"ZBS","BST","Baker Street","940GZZLUBST","NW15LL"
"ZBT","BTX","Brent Cross","940GZZLUBTX","NW119UA"
"ZBU","BOR","Borough","940GZZLUBOR","SE11JX"
"ZBV","ZBT","Beckton","940GZZDLBEC","E65NT"
"ZBW","BBB","Bromley-By-Bow","940GZZLUBBB","E33NF"
"ZBY","ZBW","Bayswater","940GZZLUBWT","W24QH"
"ZBZ","BEC","Becontree","940GZZLUBEC","RM94TP"
"ZCA","CPS","Clapham South","940GZZLUCPS","SW129DU"
"ZCB","CNT","Canning Town","940GZZLUCGT","E161DQ"
"ZCC","CPC","Clapham Common","940GZZLUCPC","SW47AJ"
"ZCD","COL","Colindale","940GZZLUCND","NW95HR"
"ZCE","ZCH","Custom House","940GZZDLCUS","E163AT"
"ZCF","CHF","Chalk Farm","940GZZLUCFM","NW32BP"
"ZCH","ZXH","Crossharbour","940GZZDLCLA","E149RE"
"ZCI","CHP","Chiswick Park","940GZZLUCWP","W45NE"
"ZCK","CFS","Cockfosters","940GZZLUCKS","EN40DZ"
"ZCL","CLW","Colliers Wood","940GZZLUCSD","SW192HR"
"ZCN","CPN","Clapham North","910GCLPHHS","SW47TS"
"ZCP","CPK","Canons Park","940GZZLUCPK","HA86RN"
"ZCQ","ZCY","Cyprus","940GZZDLCYP","E65NA"
"ZCR","CRD","Caledonian Road","940GZZLUCAR","N79BA"
