CRS Code,Station Name,Sixteen Character Name,Longitude,Latitude,Station Operator,National Location Code,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Ticket Office Mon-Fri Start,Ticket Office Mon-Fri End,Ticket Office Sat Start,Ticket Office Sat End,Ticket Office Sun Start,Ticket Office Sun End,Toilets Available,Wheelchairs Available
CON,Connel Ferry,CONNEL FERRY,-5.385427005,56.45233144,SR,870800,,,,,,,,,,,,false,false
CBD,Conon Bridge,cononbr,-4.4404,57.5617,SR,6393,,,,,,,,,,,,false,
CEY,Cononley,CONONLEY,-2.011236378,53.91726977,NT,847000,,,,,,,,,,,,false,
CNP,Conway Park,CONWAY PARK,-3.022679178,53.39337776,ME,362400,,,,,,,,05:54:00.000,00:12:00.000,07:54:00.000,00:12:00.000,true,
CNW,Conwy,CONWY,-3.830541495,53.28011971,AW,248600,,,,,,,,,,,,false,false
COB,Cooden Beach,COODEN BEACH,0.426874784,50.83336546,SN,545800,,,,,,06:15:00.000,18:30:00.000,06:15:00.000,18:30:00.000,08:00:00.000,16:00:00.000,false,false
COO,Cookham,COOKHAM,-0.722076986,51.5574608,GW,301900,,,,,,06:50:00.000,11:30:00.000,08:00:00.000,11:30:00.000,,,true,false
CBR,Cooksbridge,COOKSBRIDGE,-0.009198424,50.90375256,SN,533600,,,,,,,,,,,,false,false
COE,Coombe Junction Halt,COOMBE CORNWALL,-4.48193626,50.44547073,GW,357000,,,,,,,,,,,,false,
COP,Copplestone,COPPLESTONE,-3.751601158,50.81445919,GW,582100,,,,,,,,,,,,false,false
CRB,Corbridge,CORBRIDGE,-2.018556061,54.96630507,NT,750400,,,,,,,,,,,,false,
COR,Corby,Corby,-0.689243,52.488051,EM,1847,,,,,,06:30:00.000,13:00:00.000,09:00:00.000,15:00:00.000,08:00:00.000,15:00:00.000,true,true
CKH,Corkerhill,CORKERHILL,-4.334287526,55.83748586,SR,962700,,,,,,,,,,,,false,false
CKL,Corkickle,CORKICKLE,-3.582164579,54.54167907,NT,204900,,,,,,,,,,,,false,
CPA,Corpach,CORPACH,-5.121947882,56.84280695,SR,882400,,,,,,,,,,,,false,false
CRR,Corrour,CORROUR,-4.690597107,56.76019896,SR,882500,,,,,,,,,,,,false,false
COY,Coryton,CORYTON,-3.231538797,51.52036973,AW,390500,,,,,,,,,,,,false,false
CSY,Coseley,COSELEY.,-2.085779159,52.5450936,WM,114300,,,,,,,,07:00:00.000,20:00:00.000,09:00:00.000,14:00:00.000,false,
COS,Cosford,COSFORD,-2.306194661,52.644968,WM,461700,,,,,,,,,,,,false,
CSA,Cosham,COSHAM,-1.06754988,50.84208432,SW,589600,,,,,,06:10:00.000,19:45:00.000,07:00:00.000,17:00:00.000,09:10:00.000,16:00:00.000,true,false
CGM,Cottingham,COTTINGHAM,-0.406425104,53.78166481,NT,805600,,,,,,,,,,,,false,
COT,Cottingley,COTTINGLEY,-1.587702959,53.76783456,NT,850500,,,,,,,,,,,,false,
CDS,Coulsdon South,COULSDON SOUTH,-0.137884398,51.31583718,SN,540800,,,,,,06:10:00.000,19:35:00.000,07:00:00.000,20:25:00.000,09:10:00.000,16:45:00.000,true,false
CDN,Coulsdon Town,Coulston Town,-0.13432,51.322434,SN,538200,,,,,,06:00:00.000,22:00:00.000,06:00:00.000,22:00:00.000,07:00:00.000,22:00:00.000,true,false
COV,Coventry,COVENTRY.,-1.513460517,52.40082838,VT,103000,,,,,,05:15:00.000,21:30:00.000,05:30:00.000,20:45:00.000,07:30:00.000,21:30:00.000,true,true
CAA,Coventry Arena,COVAREN,-1.496628,52.448457,WM,7416,,,,,,,,,,,,false,
CWN,Cowden (Kent),COWDEN (KENT),0.110041555,51.15563114,SN,540900,,,,,,,,,,,,false,false
COW,Cowdenbeath,COWDENBEATH,-3.343182977,56.11208188,SR,918500,,,,,,,,09:00:00.000,13:00:00.000,,,true,false
CRA,Cradley Heath,CRADLEY HEATH.,-2.090490391,52.46966253,WM,463900,,,,,,06:00:00.000,20:00:00.000,07:00:00.000,20:00:00.000,09:15:00.000,18:00:00.000,false,
CGD,Craigendoran,CRAIGENDORAN,-4.711231697,55.9947777,SR,997000,,,,,,,,,,,,false,false
CRM,Cramlington,CRAMLINGTON,-1.598597623,55.0877699,NT,757900,,,,,,,,,,,,false,
CBK,Cranbrook (Devon),CBRK,-3.4222744,50.749689,SW,9850,,,,,,,,,,,,false,false
CRV,Craven Arms,CRAVEN ARMS,-2.8374,52.44237,AW,363400,,,,,,,,,,,,false,false
CRW,Crawley,CRAWLEY.,-0.186672649,51.1122072,SN,548400,,,,,,06:10:00.000,20:20:00.000,06:10:00.000,20:20:00.000,08:40:00.000,18:20:00.000,true,true
CRY,Crayford,CRAYFORD,0.178807049,51.4483295,SE,510000,,,,,,06:10:00.000,19:30:00.000,06:40:00.000,20:00:00.000,08:10:00.000,15:40:00.000,false,
CDI,Crediton,CREDITON,-3.646879885,50.78342809,GW,575400,,,,,,,,,,,,false,false
CES,Cressing (Essex),CRESSING ESSEX,0.577973167,51.85234942,LE,683700,,,,,,,,,,,,false,
CSG,Cressington,CRESSINGTON,-2.912008275,53.35876717,ME,222500,,,,,,,,,,,,true,
CWD,Creswell,CRESWELL,-1.215873919,53.26403988,EM,187400,,,,,,,,,,,,false,
CRE,Crewe,CREWE,-2.432977174,53.08964325,VT,124300,,,,,,05:30:00.000,20:00:00.000,05:30:00.000,19:00:00.000,08:10:00.000,19:00:00.000,true,true
CKN,Crewkerne,CREWKERNE,-2.778487421,50.87203517,SW,583200,,,,,,05:50:00.000,12:20:00.000,07:30:00.000,12:30:00.000,,,true,false
